original,standard
de Geer,DEGEER
De Genova,DEGENOVA
de Getrouwe,DEGETROUWE
de Geus,DEGEUS
de Goede,DEGOEDE
de Graaf,DEGRAAF
de Graaff,DEGRAAFF
De Grassi,DEGRASSI
DeGraw,DEGRAW
de Greef,DEGREEF
de Groen,DEGROEN
de Groot,DEGROOT
De Grossi,DEGROSSI
de Gruiter,DEGRUITER
de Gruyter,DEGRUYTER
de Haan,DEHAAN
de Haas,DEHAAS
de Heij,DEHEIJ
de Hooghe,DEHOOGHE
de Hond,DEHOND
dei Cattanei,DEICATTANEI
de Jager,DEJAGER
DeJesus,DEJESUS
De Jezus,DEJEZUS
DeJohnette,DEJOHNETTE
de Jong,DEJONG
de Jonge,DEJONGE
de Jongh,DEJONGH
De Juana,DEJUANA
de Keijzer,DEKEIJZER
de Klerk,DEKLERK
de Koe,DEKOE
de Koning,DEKONING
de Kreijger,DEKREIJGER
de Kruijff,DEKRUIJFF
de Kuyper,DEKUYPER
de Kwaadsteniet,DEKWAADSTENIET
de Kwant,DEKWANT
de Laat,DELAAT
De La Croix,DELACROIX
De la Cruz,DELACRUZ
de la Gruythuijse,DELAGRUYTHUIJSE
de la Mar,DELAMAR
de Lamarck,DELAMARCK
Del Amo,DELAMO
de Lange,DELANGE
de la Porte,DELAPORTE
De la Puebla,DELAPUEBLA
De la Rey,DELAREY
De La Reys,DELAREYS
de la Rica,DELARICA
de la Rive,DELARIVE
De La Rua,DELARUA
Dela Santos,DELASANTOS
de la Torre,DELATORRE
de Laurentis,DELAURENTIS
de la Uz,DELAUZ
DeLay,DELAY
Del Bosque,DELBOSQUE
Del Campo,DELCAMPO
del Casar,DELCASAR
del Cerro,DELCERRO
de Leeuw,DELEEUW
de Léo,DELEO
De Leon,DELEON
de Levita,DELEVITA
de Levine,DELEVINE
D'Elia,DELIA
de l'Isle,DELISLE
Dela Fiori,DELAFIORI
Dell Monte,DELLMONTE
Dell'Olio,DELLOLIO
Del Mar,DELMAR
del Monico,DELMONICO
Del Monte,DELMONTE
DeLoitte,DELOITTE
DeLong,DELONG
De Longhi,DELONGHI
de Loo,DELOO
De Lopez,DELOPEZ
De Lorenzis,DELORENZIS
De Lorenzo,DELORENZO
De los Santos,DELOSSANTOS
de Nobel,DENOBEL
Del Olmo,DELOLMO
Del Pietro,DELPIETRO
del Pozo,DELPOZO
Del Toro,DELTORO
De Luigi,DELUIGI
de Luna,DELUNA
De Machaut,DEMACHAUT
De Maer,DEMAER
de Maesschalck,DEMAESSCHALCK
DeMarchi,DEMARCHI
DeMarco,DEMARCO
De Marin,DEMARIN
De Marinis,DEMARINIS
De Masi,DEMASI
De Mayo,DEMAYO
De Medici,DEMEDICI
de Medina,DEMEDINA
DeMelis,DEMELIS
De Melito,DEMELITO
de Mello,DEMELLO
de Melo,DEMELO
de Mesquita,DEMESQUITA
DeMew,DEMEW
de Meyere,DEMEYERE
De Meyrick,DEMEYRICK
De Miguel,DEMIGUEL
DeMilo,DEMILO
de Miranda,DEMIRANDA
de Mol,DEMOL
de Monchy,DEMONCHY
de Moor,DEMOOR
Den Andel,DENANDEL
De Nardis,DENARDIS
den Blieck,DENBLIECK
den Besten,DENBESTEN
den Boef,DENBOEF
den Broeder,DENBROEDER
De Neve,DENEVE
den Haan,DENHAAN
den Hartogh,DENHARTOGH
Den Heyer,DENHEYER
den Hond,DENHOND
den Hoorn,DENHOORN
de Nooijer,DENOOIJER
Den Uyl,DENUYL
DePatie,DEPATIE
De Paul,DEPAUL
DePaula,DEPAULA
de Peira,DEPEIRA
de Pijper,DEPIJPER
de Polignac,DEPOLIGNAC
DePuis,DEPUIS
de Raaf,DERAAF
de Raat,DERAAT
de Reus,DEREUS
De Ridder,DERIDDER
de Rijk,DERIJK
de Rita,DERITA
de Rohan,DEROHAN
de Rooij,DEROOIJ
De Rozario,DEROZARIO
de Ruiter,DERUITER
de Ruyter,DERUYTER
de Ruyver,DERUYVER
De Saint-Martin,DESAINTMARTIN
De Sanctis,DESANCTIS
De Santis,DESANTIS
DeSantos,DESANTOS
Des Cartes,DESCARTES
Des Champs,DESCHAMPS
De Simone,DESIMONE
De Smet,DESMET
DeSnoo,DESNOO
de Souza,DESOUZA
Des Pins,DESPINS
De Soto,DESOTO
de Sousa,DESOUSA
DeStefano,DESTEFANO
De Toma,DETOMA
De Tompso,DETOMPSO
DeTullio,DETULLIO
DeVal,DEVAL
DeVall,DEVALL
De Ver,DEVER
de Vicente,DEVICENTE
DeVil,DEVIL
DeVille,DEVILLE
De Viry,DEVIRY
de Vlugt,DEVLUGT
DeVore,DEVORE
de Vos,DEVOS
de Vries,DEVRIES
de Vrieze,DEVRIEZE
DeVry,DEVRY
de Waal,DEWAAL
de Wachter,DEWACHTER
DeWarr,DEWARR
DeWart,DEWART
deWeerd,DEWEERD
de Wijn,DEWIJN
de Wildt,DEWILDT
de Wilt,DEWILT
de Wind,DEWIND
de Winter,DEWINTER
de With,DEWITH
de Wit,DEWIT
de Witte,DEWITTE
DeWolf,DEWOLF
DeWolfe,DEWOLFE
de Zwart,DEZWART
d'Hermenches,DHERMENCHES
d'Hollosy,DHOLLOSY
D'Hooge,DHOOGE
Di Angelo,DIANGELO
Di'Anno,DIANNO
DiBiase,DIBIASE
Di Bondone,DIBONDONE
Di Canio,DICANIO
DiCaprio,DICAPRIO
DiCarlo,DICARLO
Di Consilio,DICONSILIO
DiCristofaro,DICRISTOFARO
DiDonato,DIDONATO
Di Donna,DIDONNA
die Madocke,DIEMADOCKE
Di Fabrizio,DIFABRIZIO
Di Florio,DIFLORIO
Di Francesco,DIFRANCESCO
Di Franco,DIFRANCO
DiGianni,DIGIANNI
Di Girolamo,DIGIROLAMO
di Gregorio,DIGREGORIO
Di Grigorio,DIGRIGORIO
Di Guidice,DIGUIDICE
DiLauro,DILAURO
di Lello,DILELLO
Di Lorenzo,DILORENZO
di Lupo,DILUPO
DiMaggio,DIMAGGIO
Di Maio,DIMAIO
DiMarco,DIMARCO
DiMatteo,DIMATTEO
di Mauro,DIMAURO
Di Meo,DIMEO
Di Miglio,DIMIGLIO
di Modica,DIMODICA
Di Natale,DINATALE
Di Pasquale,DIPASQUALE
DiPietro,DIPIETRO
DiPiezzo,DIPIEZZO
Di Placido,DIPLACIDO
D'Ippolito,DIPPOLITO
Di Sabatino,DISABATINO
Di Spirito,DISPIRITO
di Stefani,DISTEFANI
Di Stefano,DISTEFANO
di Simone,DISIMONE
DiVicenza,DIVICENZA
Di Vicenzo,DIVICENZO
DiVona,DIVONA
D'Mello,DMELLO
D'Onofrio,DONOFRIO
D'Orsi,DORSI
Dos Ramos,DOSRAMOS
Dos Reis,DOSREIS
Dos Santos,DOSSANTOS
D'Ottavio,DOTTAVIO
Douwes Dekker,DOUWESDEKKER
d'Souza,DSOUZA
D'Ubaldo,DUBALDO
DuBois,DUBOIS
DuBuque,DUBUQUE
DuChesne,DUCHESNE
d'Udekem,DUDEKEM
Du Fresne,DUFRESNE
du Gard,DUGARD
DuHarte,DUHARTE
DuLaney,DULANEY
DuMaurier,DUMAURIER
DuMont,DUMONT
du Pont,DUPONT
D'Urzo,DURZO
El-Abboud,ELABBOUD
El Abdoune,ELABDOUNE
El-Abdouni,ELABDOUNI
El-Achkar,ELACHKAR
El Ahmadi,ELAHMADI
El Ajjouri,ELAJJOURI
El Akabawy,ELAKABAWY
El Amal,ELAMAL
el Amrani,ELAMRANI
el Asmi,ELASMI
El Azzouzi,ELAZZOUZI
El Bakkali,ELBAKKALI
el-Baklawi,ELBAKLAWI
El Baoudi,ELBAOUDI
El Baradei,ELBARADEI
el Baz,ELBAZ
El Bazaz,ELBAZAZ
el-Beblawi,ELBEBLAWI
El Benenni,ELBENENNI
El Bezaz,ELBEZAZ
El Biyar,ELBIYAR
El Boubsi,ELBOUBSI
El Boumahdi,ELBOUMAHDI
El Daoudi,ELDAOUDI
El Ghazavoi,ELGHAZAVOI
el-Erian,ELERIAN
El Fan,ELFAN
El Fassad,ELFASSAD
el-Fassed,ELFASSED
El Fayed,ELFAYED
el-Forkani,ELFORKANI
el Gayate,ELGAYATE
El Gharbi,ELGHARBI
El-Ghazali,ELGHAZALI
El Guennouni,ELGUENNOUNI
El Haj,ELHAJ
el Haji,ELHAJI
el Haji Malik,ELHAJIMALIK
El Hajouj,ELHAJOUJ
El Hakmi,ELHAKMI
el Hamdaoui,ELHAMDAOUI
El Hami,ELHAMI
El Hamous,ELHAMOUS
El-Hamus,ELHAMUS
el Hassad,ELHASSAD
